Name,Location,Year,Kilometers,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price_nrs
Maruti Wagon R LXI CNG,Bharatpur,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,7.875
Hyundai Creta 1.6 CRDi SX Option,Hetauda,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,56.25
Honda Jazz V,Pokhara,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,20.25
Maruti Ertiga VDI,Pokhara,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,27
Audi A4 New 2.0 TDI Multitronic,Janakpur,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,79.83
Hyundai EON LPG Era Plus Option,Nepaljung,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5,10.575
Nissan Micra Diesel XV,Birjung,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,15.75
Toyota Innova Crysta 2.8 GX AT 8S,Bharatpur,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,78.75
Volkswagen Vento Diesel Comfortline,Hetauda,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,23.4
Tata Indica Vista Quadrajet LS,Pokhara,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,8.775
Maruti Ciaz Zeta,Ratnanagar,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,44.775
Honda City 1.5 V AT Sunroof,Butwal,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5,20.205
Maruti Swift VDI BSIV,Birjung,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,25.2
Land Rover Range Rover 2.2L Pure,Kathmandu,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,121.5
Land Rover Freelander 2 TD4 SE,Hetauda,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,78.75
Mitsubishi Pajero Sport 4X4,Kathmandu,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,67.5
Honda Amaze S i-Dtech,Ratnanagar,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,24.3
Maruti Swift DDiS VDI,Birjung,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,26.955
Renault Duster 85PS Diesel RxL Plus,Ratnanagar,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,28.53
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Biratnagar,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,126
BMW 3 Series 320d,Ratnanagar,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,83.475
Maruti S Cross DDiS 200 Alpha,Biratnagar,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,37.125
Audi A6 2011-2015 35 TFSI Technology,Bharatpur,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,105.75
Hyundai i20 1.2 Magna,Butwal,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,8.415
Volkswagen Vento Petrol Highline AT,Butwal,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,12.825
Honda City Corporate Edition,Bharatpur,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,19.125
Nissan Micra Diesel XV,Nepaljung,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,19.125
Maruti Alto K10 2010-2014 VXI,Nepaljung,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,12.375
Honda WRV i-VTEC VX,Ratnanagar,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,44.55
Toyota Innova 2.5 V Diesel 7-seater,Bharatpur,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,18
Renault Duster 110PS Diesel RxZ Pack,Biratnagar,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,34.875
Toyota Corolla Altis G,Kathmandu,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,30.375
Mahindra Ssangyong Rexton RX7,Biratnagar,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,56.25
Audi A6 2.7 TDI,Butwal,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,51.75
Volkswagen Vento 1.6 Highline,Janakpur,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,31.41
Maruti Wagon R LXI BSIII,Birjung,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,8.325
Maruti Vitara Brezza ZDi Plus,Ratnanagar,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,38.835
Mahindra KUV 100 mFALCON G80 K6 5str AW,Kathmandu,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,21.825
Mercedes-Benz M-Class ML 350 CDI,Hetauda,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,126
Volkswagen Polo Diesel Trendline 1.2L,Pokhara,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,22.5
Maruti Alto LXi,Kathmandu,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,5.625
Tata Nano LX SE,Ratnanagar,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,6.885
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Janakpur,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,25.11
Hyundai i20 Magna Optional 1.2,Ratnanagar,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,21.33
Hyundai Elantra 2.0 SX Option AT,Biratnagar,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,39.825
Toyota Corolla Altis G AT,Bharatpur,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,45.495
